File Name,Component RT,Compound Name,Match Factor,Best Hit,Formula,Model Peak Area,Model Peak Height,Base Peak Area,Component Area,Model Peak MZ,Base Peak MZ
11062023_MP_T3.D,6.98179669517241,Ethylbenzene,92.2523327807724,True,C8H10,37388.2561922602,14380.8624693707,37388.2561922602,82784.241288772,91.04,91.04
11062023_MP_T2.D,6.98232486038861,Ethylbenzene,93.8315735016707,True,C8H10,12723.8079708103,5309.6739328326,63836.4802362446,152003.389219291,105.05,91.04
11062023_MM_C2.D,6.98288376682522,Ethylbenzene,88.2584588757679,True,C8H10,30071.6087404342,11744.8749607143,30071.6087404342,66189.7534675695,91.04,91.04
11062023_MP_T3.D,7.03855800036466,Nonane,94.3009525544071,True,C9H20,30220.3541788539,10317.9563299866,55850.3068683778,243001.848432969,85,57
11062023_MP_C1.D,7.03884088455227,"Octane, 2,4,6-trimethyl-",84.5954890158716,True,C11H24,10594.3205654569,4667.60329759327,10594.3205654569,81335.5523698398,57,57
11062023_MM_T3.D,7.03894753085318,4.93 Nonane<n->,92.0099899207986,True,C9H20,18472.2179096668,6983.44657961566,18472.2179096668,129870.696199026,57,57
11062023_MP_C3.D,7.03902680855662,Nonane,89.2888409430626,True,C9H20,20395.4285586269,8760.10951150076,20395.4285586269,89776.2368935307,57,57
11062023_MM_T1.D,7.03905024470984,Nonane,94.9573607699345,True,C9H20,230621.545181838,76066.9682028634,431429.980993099,2023405.01151521,85,57
11062023_MM_C3.D,7.03933820625889,Nonane,95.1638521380853,True,C9H20,28600.7041443336,11843.5189078274,28600.7041443336,132182.808121175,57,57
11062023_MM_C2.D,7.03944698787558,Nonane,95.4946530300716,True,C9H20,45040.4126632394,16037.3235556944,45040.4126632394,215182.977203598,57,57
11062023_MM_T2.D,7.03949963982552,Nonane,94.458994955205,True,C9H20,439319.745874404,151454.688434929,439319.745874404,1887881.61638841,57.07,57.07
11062023_MP_T2.D,7.03978570241955,Nonane,95.0465714590917,True,C9H20,128075.753494591,49525.1359033593,163789.871146244,685882.051312896,43,57
11062023_MP_T3.D,7.1095325160899,4.98 Heptanal,88.7086317335631,True,C7H14O,6845.44575492067,3215.95949429729,10430.946499815,57265.2202455693,43.99,43.06
11062023_MM_C3.D,7.10984982397165,4.98 Heptanal,83.1683374471061,True,C7H14O,6708.03543060846,3106.70728228127,8696.71293398067,54113.5138942716,44,43
11062023_MP_C3.D,7.10995995847666,Heptanal,85.3134611301319,True,C7H14O,9059.3738227659,4101.968515764,9059.3738227659,56101.0924778238,70,70
11062023_MP_C2.D,7.11150143986802,"Hexanal, 3-methyl-",89.5860055584851,True,C7H14O,5703.0907175674,2248.60229492188,7580.00678205631,42555.7420405157,41.05,70.07
11062023_MM_T2.D,7.17476415868242,"Ethanol, 2-butoxy-",88.2216248532889,True,C6H14O2,164696.896644467,76921.1425148969,164696.896644467,339553.662908221,57.07,57.07
11062023_MM_T1.D,7.17484302352972,"Ethanol, 2-butoxy-",89.9651602463186,True,C6H14O2,44961.52957537,20587.9881784489,127553.95978418,328374.760496655,87,57
MP_010824_AVOC_C2.D,7.17563979298094,"Ethane, 1,1,2,2-tetrachloro-",90.141576714017,True,C2H2Cl4,317725.03715932,92645.7619921571,364127.137233939,1153397.0254049,85.1,83.09
MP_010824_AVOC_C1.D,7.17578015221889,"Ethane, 1,1,2,2-tetrachloro-",90.8471366973178,True,C2H2Cl4,188266.021731915,73984.1747998002,188266.021731915,522008.115687277,83.09,83.09
MP_010824_AVOC_T4.D,7.17581181117171,"Ethane, 1,1,2,2-tetrachloro-",90.109033501121,True,C2H2Cl4,259281.126819885,102515.632654512,259281.126819885,846830.806534167,83.09,83.09
MP_010824_AVOC_T2.D,7.17682756090472,"Ethane, 1,1,2,2-tetrachloro-",89.9453720445855,True,C2H2Cl4,207405.768822775,82755.4950865667,207405.768822775,648323.400972937,83.09,83.09
11062023_MP_T2.D,7.17700298344117,"Ethanol, 2-butoxy-",88.9152850725454,True,C6H14O2,63023.1706337639,29354.8281907501,63023.1706337639,134111.305037699,57.07,57.07
MP_010824_AVOC_CC1.D,7.17723742138886,"Ethane, 1,1,2,2-tetrachloro-",90.2031476038453,True,C2H2Cl4,248647.191704021,97829.5808847156,248647.191704021,797471.956927649,83.09,83.09
MP_010824_AVOC_T3.D,7.17735155032237,"Ethane, 1,1,2,2-tetrachloro-",91.1293992744873,True,C2H2Cl4,1109.81761518098,552.371398925781,105282.359033773,330791.254278518,172,83
MP_010824_AVOC_C3.D,7.17764552669918,"Ethane, 1,1,2,2-tetrachloro-",90.1712964717812,True,C2H2Cl4,333710.363387587,129244.011437988,333710.363387587,1031795.9014017,83.09,83.09
11062023_MP_T2.D,7.17773181114302,"4-Hepten-3-one, 5-ethyl-4-methyl-",72.2781984395056,True,C10H18O,63023.1706337639,29354.8281907501,63023.1706337639,341916.505821804,57,57
11062023_MM_C3.D,7.18354721242223,"4-Hepten-3-one, 5-ethyl-4-methyl-",66.1107556410121,True,C10H18O,13309.6287023402,6222.46842978512,13309.6287023402,63536.3797399091,57,57
11062023_MM_C2.D,7.19192424102978,"4-Hepten-3-one, 5-ethyl-4-methyl-",70.1824404121135,True,C10H18O,14194.5367199707,7272.77059326172,30580.6671297322,136780.177684934,57,97
11062023_MM_C3.D,7.19373048232432,4-Octen-3-one,70.8930743535702,True,C8H14O,13309.6287023402,6222.46842978512,13873.769208543,75320.0324513118,57.07,97.08
11062023_MP_T3.D,7.19407130483531,4-Octen-3-one,70.9901800401592,True,C8H14O,21928.6709775818,9595.4219909668,30003.8983769658,155878.690218634,57,97
MP_010824_AVOC_C3.D,7.35038526127461,"Octane, 2,5-dimethyl-",85.330658254643,True,C10H22,119627.94788209,48394.1472244802,119627.94788209,425539.775034836,57,57
11062023_MM_T2.D,7.35932577955647,"Undecane, 5,6-dimethyl-",92.5847050097728,True,C13H28,55070.5018584296,22813.7485880565,132257.073234752,427668.524900856,85.09,57.07
MP_010824_AVOC_C1.D,7.40217441719231,5.63 Cumene,62.813025405246,True,C9H12,49514.5394869915,22087.62109375,49514.5394869915,456176.77714985,105.06,105.06
11062023_MP_T3.D,7.44024728992172,1-Pentadecyne,80.6241800174124,True,C15H28,13866.3689491395,5310.35657258372,18191.6519021416,237039.502990058,67.03,82.06
11062023_MM_C3.D,7.44028636312197,"3-Hexen-1-ol, propanoate, (Z)-",79.1294718049559,True,C9H16O2,5850.40077974968,2209.90987046128,9047.68607871519,75364.5812069091,81.04,82.07
11062023_MP_T2.D,7.4418889988845,Cyclohexanepropanol-,80.8028248394904,True,C9H18O,39945.8249871787,13833.0410092875,39945.8249871787,167189.140009581,82.06,82.06
11062023_MP_T2.D,7.44206544240673,1-Pentadecyne,79.2278713341024,True,C15H28,39945.8249871787,13833.0410092875,39945.8249871787,520350.18907309,82,82
MP_010824_AVOC_C3.D,7.47337900017649,"Ethanone, 1-(1-methylcyclopentyl)-",68.2579037791669,True,C8H14O,139295.980090942,39166.9176879883,139295.980090942,430822.223433505,83.09,83.09
11062023_MM_T1.D,7.4890310592736,Heptyl tetradecyl ether,85.3223720912245,True,C21H44O,59459.3632605993,20678.6535295308,86865.2474927659,810868.086897427,71.08,57.07
11062023_MM_T1.D,7.49031286753261,"Octane, 2,5-dimethyl-",84.4708064682718,True,C10H22,59459.3632605993,20678.6535295308,86865.2474927659,331200.813504475,71,57
11062023_MM_T2.D,7.49049469216115,"Heptane, 2,3,4-trimethyl-",83.1625408972128,True,C10H22,148459.458053335,49420.3060280805,148459.458053335,382176.707529841,57,57
MP_010824_AVOC_T1.D,7.50438734834984,"Undecane, 6,6-dimethyl-",93.5415448458048,True,C13H28,285311.637826168,95571.2294801291,349631.086271841,1241365.79165969,71.09,57.08
MP_010824_AVOC_T2.D,7.5107296188523,"Octane, 2,6-dimethyl-",93.7137143002646,True,C10H22,331007.556672067,110171.5831781,337150.905045408,1308339.31215034,71,57
MP_010824_AVOC_C3.D,7.51092348525038,"Undecane, 6,6-dimethyl-",93.2409657761217,True,C13H28,563430.391051119,191789.77403596,609927.078926785,2313739.67709859,71.09,57.08
MP_010824_AVOC_CC1.D,7.51101915654941,"Undecane, 6,6-dimethyl-",92.9271315326345,True,C13H28,442281.297886299,146769.24478172,403521.885637802,1724107.11278198,71.09,57.08
MP_010824_AVOC_T3.D,7.51112626873175,"Octane, 2,6-dimethyl-",92.6876506612702,True,C10H22,193961.552687193,68180.4029971073,220241.938579528,926317.755679856,71.09,57.08
MP_010824_AVOC_C1.D,7.51184054852965,"Octane, 2,6-dimethyl-",93.8258207164181,True,C10H22,398095.514212704,140893.949399721,483787.948313358,1749052.71099842,71.09,57.08
MP_010824_AVOC_T4.D,7.51259007700187,"Undecane, 6,6-dimethyl-",92.4651827036257,True,C13H28,490782.764660886,166119.595458984,499323.854309834,1934817.53625853,71.09,57.08
MP_010824_AVOC_C2.D,7.51288293766372,"Undecane, 6,6-dimethyl-",93.5476125877736,True,C13H28,766054.559555076,275734.339192331,766054.559555076,2520360.87658595,57.08,57.08
11062023_MM_C2.D,7.54377170724807,"Benzene, (1-methylethyl)-",90.0613538582819,True,C9H12,32725.222122793,14242.8456433906,32725.222122793,59013.9594462894,105,105
11062023_MM_T2.D,7.54442991486377,"Benzene, (1-methylethyl)-",89.2987320493137,True,C9H12,50736.6136584881,21680.8520882377,164012.103813584,319370.741884487,120.07,105.05
11062023_MP_T3.D,7.54477343354068,"Benzene, (1-methylethyl)-",90.1891176700261,True,C9H12,39269.1181518389,17194.8384312324,39269.1181518389,69420.7211343216,105.05,105.05
11062023_MP_T2.D,7.5451569175303,"Benzene, (1-methylethyl)-",86.6458096254427,True,C9H12,98790.4877869563,43391.58203125,98790.4877869563,198995.338633125,105,105
11062023_MM_C3.D,7.54526738506523,"Benzene, 1-ethyl-4-methyl-",84.3005941538727,True,C9H12,22895.008480255,10037.0185546875,22895.008480255,51223.0034627194,105,105
11062023_MM_T1.D,7.54672196876004,"Benzene, (1-methylethyl)-",73.7387940805089,True,C9H12,133094.177931848,56809.7228380931,133094.177931848,400316.037970322,105.05,105.05
11062023_MP_T3.D,7.61776436865163,"Cyclohexane, propyl-",75.2261947443023,True,C9H18,51349.4986216834,16903.5545728042,51349.4986216834,198143.013286658,83.07,83.07
11062023_MM_C2.D,7.61785242510495,"Cyclohexane, (1-methylethyl)-",75.6415859995044,True,C9H18,34068.0461549084,9369.89397646697,37892.2845412988,125729.073104231,55.05,83.07
11062023_MM_T1.D,7.61793749137272,"Cyclohexane, propyl-",74.371772659855,True,C9H18,244574.013888597,78266.6732368326,244574.013888597,807845.028724615,83,83
11062023_MM_C3.D,7.6184105758542,"Cyclohexane, propyl-",75.0704988258828,True,C9H18,26634.8861770005,9423.24721855964,26634.8861770005,96246.0766009803,83,83
11062023_MP_T2.D,7.61858336987059,"Cyclohexane, propyl-",80.2023043002006,True,C9H18,66005.5079409342,23644.116750306,110036.744322058,618211.327712466,82,83
11062023_MM_T2.D,7.61859645714576,"Cyclohexane, (1-methylethyl)-",75.0152969701526,True,C9H18,241595.545231739,83155.3683155671,241595.545231739,957849.486933712,83.08,83.08
MP_010824_AVOC_T1.D,7.64126588780412,"Heptane, 3-ethyl-2-methyl-",82.6050521333683,True,C10H22,353665.301605308,97893.0404485718,353665.301605308,1383855.05003977,57,57
MP_010824_AVOC_T1.D,7.64126588780412,"1-Heptanol, 2,4-diethyl-",82.9330913351303,True,C11H24O,353665.301605308,97893.0404485718,353665.301605308,1387063.8657385,57.08,57.08
11062023_MM_C2.D,7.64305749419444,"Sulfurous acid, butyl octyl ester",76.0007387390355,True,C12H26O3S,34068.0461549084,9369.89397646697,50487.9008530938,500668.935735093,55,57
MP_010824_AVOC_C3.D,7.64379758066914,2-(Butyliden-2-one)tetrahydrofuran,65.4462014266171,True,C8H12O2,100349.999650502,32553.4265609304,224009.376839837,522471.403807615,111.1,69.08
11062023_MP_C1.D,7.64738771081034,"Octane, 3,4,5,6-tetramethyl-",77.4973321677585,True,C12H26,11399.7096895684,4610.67535840402,11399.7096895684,90791.5067322176,57.06,57.06
MP_010824_AVOC_T2.D,7.64740390777466,"Heptane, 3-ethyl-2-methyl-",82.2522756705036,True,C10H22,309318.208262425,97767.6835023217,309318.208262425,1223046.704519,57,57
MP_010824_AVOC_T2.D,7.64804615200995,"Heptane, 4-propyl-",84.0152386630323,True,C10H22,309318.208262425,97767.6835023217,309318.208262425,832635.885185293,57.08,57.08
MP_010824_AVOC_CC1.D,7.64854408170726,"Heptane, 3-ethyl-2-methyl-",82.2590879419088,True,C10H22,368759.519615683,126239.766914703,368759.519615683,1380463.40797985,57,57
MP_010824_AVOC_C3.D,7.6488887692492,"Heptane, 4-(1-methylethyl)-",86.7683045983067,True,C10H22,457605.23364007,153306.422224138,457605.23364007,1392871.29314835,57,57
MP_010824_AVOC_T3.D,7.64889994251503,"Heptane, 3-ethyl-2-methyl-",85.3912015475133,True,C10H22,196280.174314154,76872.6512334285,196280.174314154,658314.933020717,57.08,57.08
MP_010824_AVOC_T4.D,7.64894659501246,"Heptane, 3-ethyl-2-methyl-",81.7814602234808,True,C10H22,200783.268259707,66182.4600163585,419737.946687871,1647883.88028756,98,57
MP_010824_AVOC_C3.D,7.64904939349836,"1H-1,2,4-Triazol-3-amine, 5-methyl-",75.3530203031036,True,C3H6N4,457605.23364007,153306.422224138,457605.23364007,1129921.60317767,57.08,57.08
MP_010824_AVOC_C1.D,7.64919064983274,"Heptane, 3-ethyl-2-methyl-",88.6250266112189,True,C10H22,205046.932303193,65626.1226294974,411384.46588767,1279461.74956002,98.1,57.08
11062023_MM_C3.D,7.64926905799285,"Decane, 5,6-dipropyl-",80.887319335486,True,C16H34,38200.9209128789,11114.8866062931,34431.0643262221,329981.454470141,71,57
11062023_MM_T3.D,7.64942442051472,"Undecane, 6,6-dimethyl-",85.7157822486577,True,C13H28,21151.0427322676,7724.53377730251,21151.0427322676,73568.1559784588,57,57
MP_010824_AVOC_T4.D,7.64955131429162,"1H-1,2,4-Triazol-3-amine, 5-methyl-",81.5811343763783,True,C3H6N4,200783.268259707,66182.4600163585,419737.946687871,1079503.93501966,98.1,57.08
11062023_MM_C3.D,7.65035159622011,"Undecane, 6,6-dimethyl-",87.4527124521474,True,C13H28,38200.9209128789,11114.8866062931,34431.0643262221,125633.561568706,71.07,57.07
11062023_MM_C2.D,7.65054936774258,"Undecane, 6,6-dimethyl-",89.3135367974496,True,C13H28,50487.9008530938,19336.0004326427,50487.9008530938,171080.198330565,57.07,57.07
11062023_MP_T3.D,7.65056253358354,"Undecane, 6,6-dimethyl-",88.7509670624224,True,C13H28,59073.4582554092,20491.6304263856,73372.0996650755,230752.358374667,71.08,57.07
MP_010824_AVOC_C2.D,7.65062501418046,"Heptane, 4-propyl-",85.4870623293033,True,C10H22,722649.629236668,202072.983742101,722649.629236668,1943945.71982997,57,57
11062023_MP_C3.D,7.65102282010749,"Undecane, 6,6-dimethyl-",87.593550206506,True,C13H28,26021.7106157443,9786.67317519086,26021.7106157443,88583.8116251798,57.06,57.06
11062023_MP_T2.D,7.65150073948513,"Octane, 3,6-dimethyl-",90.9222116350088,True,C10H22,160202.079168201,54729.8957685158,185866.440984538,670428.167251107,71.08,57.07
11062023_MM_T2.D,7.65169245865597,"Octane, 3,6-dimethyl-",90.0205512189553,True,C10H22,553325.17555441,194489.004517125,553325.17555441,1753563.88298916,57.07,57.07
