Treatment,Trial,E1,E2,C,G,TimeToFirstSusE2,pd,probes,npDurationHour1,npDurationHour2,npDurationHour3,TimeToFirstEy,np,numberofE1,numberofE2,numberofsusE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial1_ch6_C,0,0,170.1648333,0,480,37,22,60,60,57.22033333,480,309.8351667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial1_ch7_C,0.0905,409.9936667,69.91566667,0,70.00633333,58,1,0.000166667,0,0,69.91583333,0.000166667,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial2_ch1_C,2.896666667,350.681,68.7185,0,109.7123333,63,2,48.27466667,9.429166667,0,109.1513333,57.70383333,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial2_ch4_C,0,0,432.5518333,0,480,154,39,5.385666667,1.334166667,3.536166667,480,47.44816667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial2_ch5_C,1.017166667,3.9175,168.4965,92.34683333,480,110,18,13.861,37.75016667,60,475.0653333,214.222,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial3_ch2_C,1.7915,431.9921667,39.76166667,0,40.30566667,30,4,6.454666667,0,0,39.38733333,6.454666667,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial3_ch4_odd_C,0,0,433.1865,3.411,480,122,26,1.769666667,6.2185,5.337666667,480,43.4025,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial3_ch8_C,21.868,37.16716667,367.5373333,0.666833333,79.876,158,28,10.99183333,0,0.366,70.57416667,52.76066667,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial4_ch1_C,1.334333333,408.8508333,69.81466667,0,71.14916667,72,1,0.000166667,0,0,69.81483333,0.000166667,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial4_ch3_C,1.934666667,0,120.9226667,203.8031667,480,98,6,58.51316667,2.124833333,0,360.7745,153.3395,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial4_ch7_C,0.533,0.970666667,421.6185,56.87766667,480,265,1,0.000166667,0,0,220.447,0.000166667,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial5_ch1_C,1.724666667,395.1441667,72.00766667,0,84.85583333,46,7,11.1235,0,0,83.13116667,11.1235,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial5_ch6_C,8.782166667,0,372.5063333,0,480,145,56,16.70333333,10.222,28.68666667,257.7133333,98.7115,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial5_ch8_C,1.216833333,191.1145,214.0328333,10.952,288.8855,179,8,56.35733333,2.613333333,1.188833333,287.6686667,62.68383333,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial6_ch3_odd_C,5.551,0,316.6038333,0,480,76,31,12.78616667,6.349,2.890333333,28.00816667,157.8451667,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial6_ch4_C,1.147833333,266.1463333,199.3866667,0,213.8536667,122,18,5.759333333,4.6055,2.053166667,212.7058333,13.31916667,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial6_ch5_C,0,0,426.3498333,22.6355,480,154,20,5.094666667,2.455666667,6.494666667,480,31.01466667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Trial6_ch7_C,1.4905,420.7705,57.39516667,0,59.2295,27,3,0.343833333,0,0,57.739,0.343833333,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
