dish,trt,day,adults,nymphs
25,NS-C,5,NA,10
26,NS-C,5,NA,0
27,NS-C,5,NA,27
28,NS-C,5,NA,1
29,NS-C,5,NA,0
30,NS-C,5,NA,0
31,NS-C,5,NA,4
32,NS-C,5,NA,8
33,NS-C,5,NA,0
34,NS-C,5,NA,0
35,NS-C,5,NA,20
36,NS-C,5,NA,18
37,NS,5,NA,2
38,NS,5,NA,18
39,NS,5,NA,42
40,NS,5,NA,5
41,NS,5,NA,18
42,NS,5,NA,0
43,NS,5,NA,9
44,NS,5,NA,14
45,NS,5,NA,18
46,NS,5,NA,0
47,NS,5,NA,0
48,NS,5,NA,0
